# INPUT : tev01_wrbr_hfreb2_pca_5_23_32
# LabelHelper : tp
#   xtt         xtt1       xtt2       dtt        rt       ert          rx       erx      nx       rxmin        rxmax
# 
 -327284.06 -328124.06 -326444.06   1680.0     1.5559    0.2261      0.0100    0.0001     0     0.0100       0.0100
 -325588.90 -326428.90 -324748.90   1680.0     1.4784    0.2066      0.0100    0.0001     0     0.0100       0.0100
 -261084.04 -261982.81 -260185.26   1797.5     2.8623    0.3780      0.0100    0.0001     0     0.0100       0.0100
 -259285.02 -260184.96 -258385.08   1799.9     2.8871    0.3770      0.0100    0.0001     0     0.0100       0.0100
 -257485.91 -258384.82 -256587.01   1797.8     2.4852    0.3731      0.0100    0.0001     0     0.0100       0.0100
 -255691.56 -256598.50 -254784.62   1813.9     2.4852    0.3599      0.0100    0.0001     0     0.0100       0.0100
 -254329.98 -254773.86 -253886.10    887.8     3.9822    0.5792      0.0100    0.0001     0     0.0100       0.0100
 -244172.45 -245012.45 -243332.45   1680.0     2.1393    0.3859      0.0100    0.0001     0     0.0100       0.0100
 -240191.14 -241031.14 -239351.14   1680.0     1.9281    0.1971      0.0100    0.0001     0     0.0100       0.0100
 -238920.19 -239760.19 -238080.19   1680.0     1.3102    0.2989      0.0100    0.0001     0     0.0100       0.0100
 -176465.87 -177364.90 -175566.83   1798.1     0.7878    0.3789      0.0100    0.0001     0     0.0100       0.0100
 -174667.02 -175567.00 -173767.03   1800.0     1.0587    0.3325      0.0100    0.0001     0     0.0100       0.0100
 -172866.96 -173766.95 -171966.98   1800.0     1.6173    0.3308      0.0100    0.0001     0     0.0100       0.0100
 -171059.04 -171976.57 -170141.52   1835.0     1.8246    0.3239      0.0100    0.0001     0     0.0100       0.0100
 -169233.06 -170133.05 -168333.08   1800.0     1.2758    0.3218      0.0100    0.0001     0     0.0100       0.0100
 -167435.77 -168334.54 -166536.99   1797.5     0.9765    0.3436      0.0100    0.0001     0     0.0100       0.0100
 -164783.03 -165572.56 -163993.51   1579.0     0.8659    0.4048      0.0100    0.0001     0     0.0100       0.0100
 -158045.47 -158885.47 -157205.47   1680.0     1.1531    0.4145      0.0100    0.0001     0     0.0100       0.0100
 -157339.58 -158179.58 -156499.58   1680.0     1.2671    0.4117      0.0100    0.0001     0     0.0100       0.0100
 -147936.67 -148776.67 -147096.67   1680.0     0.4887    0.2698      0.0100    0.0001     0     0.0100       0.0100
 -140908.90 -141748.90 -140068.90   1680.0     1.0912    0.3652      0.0100    0.0001     0     0.0100       0.0100
  -90404.04  -90853.92  -89954.15    899.8     0.6853    0.5321      0.0100    0.0001     0     0.0100       0.0100
  -88155.65  -89055.20  -87256.09   1799.1     0.6688    0.3971      0.0100    0.0001     0     0.0100       0.0100
  -86807.12  -87257.13  -86357.10    900.0     0.6273    0.5714      0.0100    0.0001     0     0.0100       0.0100
  -84563.48  -85452.45  -83674.51   1777.9     0.1910    0.6110      0.0100    0.0001     0     0.0100       0.0100
  -82751.93  -83651.92  -81851.95   1800.0     0.7385    0.3438      0.0100    0.0001     0     0.0100       0.0100
  -81403.32  -81853.25  -80953.39    899.9     0.1625    0.8926      0.0100    0.0001     0     0.0100       0.0100
  -79155.88  -80055.69  -78256.06   1799.6     0.8317    0.3589      0.0100    0.0001     0     0.0100       0.0100
  -77356.08  -78255.98  -76456.18   1799.8     0.6223    0.4690      0.0100    0.0001     0     0.0100       0.0100
  -75106.92  -75556.85  -74656.99    899.9     0.5171    0.8357      0.0100    0.0001     0     0.0100       0.0100
  -71670.53  -72510.53  -70830.53   1680.0     0.3602    0.2013      0.0100    0.0001     0     0.0100       0.0100
  -69897.60  -70737.60  -69057.60   1680.0     0.4395    0.1570      0.0100    0.0001     0     0.0100       0.0100
  -57046.46  -57886.46  -56206.46   1680.0     0.6774    0.1730      0.0100    0.0001     0     0.0100       0.0100
   -3487.02   -4385.97   -2588.07   1797.9     1.1876    0.3545     34.4727    0.9728    34    32.4283      36.8916
   -1689.90   -2588.72    -791.08   1797.6     1.0328    0.3432     32.2528    1.1152    56    29.0763      34.6213
     109.12    -790.78    1009.02   1799.8     1.2369    0.3422     30.8191    0.7471    13    29.7474      32.4427
    1907.80     998.87    2816.73   1817.9     1.1301    0.3268     29.5628    0.9822    24    27.8770      31.3497
    3725.31    2825.62    4624.99   1799.4     0.8771    0.3518     30.7860    0.9835    57    28.7889      33.3642
    5524.76    4625.12    6424.40   1799.3     0.8085    0.3668     33.0091    1.1326    22    30.4670      35.2518
    7316.27    6428.81    8203.73   1774.9     0.8374    0.3855     34.3560    0.8494    13    32.3814      35.6352
    9152.09    8252.06   10052.12   1800.1     1.2278    0.3766     34.6926    0.7779    56    33.0486      36.5205
   10951.89   10051.91   11851.88   1800.0     0.7027    0.5128     34.2996    0.7653    32    32.7093      35.7661
   12751.52   11852.01   13651.03   1799.0     1.5720    0.5274     30.6321    0.5124     5    29.7564      31.1434
   14101.08   13651.15   14551.01    899.9     1.5852    1.5181     30.9379    0.5741    14    29.8465      31.7855
   15191.71   14351.71   16031.71   1680.0     0.5271    0.2305     30.4661    0.5447     3    29.8181      31.1508
   17013.02   16173.02   17853.02   1680.0     0.6883    0.1933     30.4312    0.6080    20    29.3457      31.5280
   18703.87   17863.87   19543.87   1680.0     0.6510    0.1758     38.7117    1.5352    10    36.7410      41.1421
   20398.18   19558.18   21238.18   1680.0     1.0324    0.1707     42.9440    1.4805    53    39.3386      46.4411
   22087.30   21247.30   22927.30   1680.0     1.3211    0.1693     44.9865    1.2033    21    43.2274      47.3342
   23775.55   22935.55   24615.55   1680.0     1.3369    0.1628      0.0100    0.0001     0     0.0100       0.0100
   25462.94   24622.94   26302.94   1680.0     1.7780    0.1723     55.6253    3.5295    42    48.9699      62.1904
   27279.07   26439.07   28119.07   1680.0     2.2867    0.1733     63.4107    2.4938    39    58.1033      67.6344
   29013.98   28173.98   29853.98   1680.0     3.9605    0.2011      0.0100    0.0001     0     0.0100       0.0100
   30836.16   29996.16   31676.16   1680.0     5.1423    0.2258     72.5011    2.8995    31    67.1226      77.7179
   32522.69   31682.69   33362.69   1680.0     4.5161    0.2411     63.8400    4.1464    53    56.7859      72.0712
   34232.54   33392.54   35072.54   1680.0     2.9691    0.2567     58.1962    1.5004     4    56.5358      60.4424
   35924.26   35084.26   36764.26   1680.0     2.0376    0.2824     49.5363    0.5503    11    48.4357      50.5310
   81432.00   80532.06   82331.94   1799.9     0.8833    0.3607     34.6808    0.5569     3    33.9443      35.2906
   83231.28   82332.11   84130.44   1798.3     1.3677    0.3405     36.1149    1.4933    56    32.7950      38.8824
   85030.04   84130.10   85929.98   1799.9     1.6104    0.3301     37.2988    1.1461    44    34.1416      39.9026
   86849.28   85898.36   87800.20   1901.8     1.1293    0.3557      0.0100    0.0001     0     0.0100       0.0100
   88731.50   87831.99   89631.01   1799.0     1.0842    0.3580     29.0448    1.0260    52    27.3660      31.1879
   90528.54   89629.37   91427.70   1798.3     0.7420    0.3479     27.3161    1.2786    51    24.6363      30.5486
   92316.24   91437.77   93194.71   1756.9     0.6741    0.4107      0.0100    0.0001     0     0.0100       0.0100
   94139.97   93241.15   95038.79   1797.6     0.9526    0.3736     32.4531    1.3618    42    28.5378      35.0795
   95936.75   95037.54   96835.96   1798.4     1.0252    0.4081     33.5342    1.2652    56    31.0161      36.6908
   96904.43   96836.00   96972.86    136.9     1.8350    1.3981     34.8543    0.3293     4    34.3964      35.2505
  100638.72   99798.72  101478.72   1680.0     2.8376    0.2416     58.2739    4.8350    52    51.3244      69.1406
  102324.38  101484.38  103164.38   1680.0     1.8713    0.2133     59.1396    2.1240    39    55.6421      64.0289
  104040.29  103200.29  104880.29   1680.0     1.7425    0.1923      0.0100    0.0001     0     0.0100       0.0100
  105727.68  104887.68  106567.68   1680.0     1.6896    0.1812     48.7383    1.4987    44    45.4852      52.5884
  107418.53  106578.53  108258.53   1680.0     2.0436    0.1789     48.4836    1.9850    35    45.0727      52.1034
  110990.30  110150.30  111830.30   1680.0     1.3061    0.1631     34.2525    0.7799     8    33.0467      35.3851
  112679.42  111839.42  113519.42   1680.0     0.9711    0.1578     31.8275    1.1903    52    29.4478      35.4379
  123856.13  123016.13  124696.13   1680.0     0.9300    0.3503     38.6139    0.9645    53    37.0925      40.9280
  168157.99  167258.00  169057.97   1800.0     3.0111    0.3524     99.1158    1.8484    28    95.4889     104.3033
  169956.49  169057.93  170855.05   1797.1     3.1240    0.3470     99.5526    1.7882    56    96.6269     103.7936
  171753.26  170853.71  172652.82   1799.1     3.4295    0.3544     98.8671    1.2492    19    95.8740     101.0006
  173569.13  172645.86  174492.40   1846.5     3.3974    0.3530    112.4645    2.4070    19   108.4593     118.8201
  175397.01  174497.03  176297.00   1800.0     3.1661    0.3446    119.7541    2.5357    56   113.9724     124.8430
  177195.00  176296.14  178093.86   1797.7     2.8956    0.3568    115.0486    2.7552    28   110.5396     120.7910
  178987.54  178096.97  179878.11   1781.1     3.4052    0.3513    124.5122    1.8929     8   120.9058     128.0709
  180825.09  179925.15  181725.03   1799.9     3.0527    0.3645    110.9909    4.6403    56   105.1681     123.8828
  182623.08  181723.22  183522.93   1799.7     3.2644    0.3951    111.2053    2.2344    37   105.8579     115.2574
  184422.53  183523.10  185321.95   1798.8     2.1790    0.4893      0.0100    0.0001     0     0.0100       0.0100
  186227.42  185314.61  187140.24   1825.6     2.0620    0.9065    116.7944    2.3723    31   111.0466     120.6343
  186743.23  185903.23  187583.23   1680.0     3.1666    0.2816      0.0100    0.0001     0     0.0100       0.0100
  188431.49  187591.49  189271.49   1680.0     3.7123    0.2515    111.6928    1.5818    14   109.3042     114.8588
  190128.38  189288.38  190968.38   1680.0     3.5487    0.2323      0.0100    0.0001     0     0.0100       0.0100
  191814.91  190974.91  192654.91   1680.0     3.3049    0.2167    107.0673    1.9543    49   102.2454     111.7936
  195365.09  194525.09  196205.09   1680.0     2.8134    0.1776      0.0100    0.0001     0     0.0100       0.0100
  197055.07  196215.07  197895.07   1680.0     3.5772    0.1892     94.3783    4.2963    33    87.7873     105.2751
  198742.46  197902.46  199582.46   1680.0     3.9857    0.1958    108.0534    2.5824    47   101.9113     112.1743
  200431.58  199591.58  201271.58   1680.0     3.3562    0.1955      0.0100    0.0001     0     0.0100       0.0100
  202119.84  201279.84  202959.84   1680.0     4.5199    0.2185    116.3258    1.6407    14   114.2652     119.3390
  203808.10  202968.10  204648.10   1680.0     4.3858    0.2307    114.1497    2.4232    52   109.5442     119.7838
  205497.22  204657.22  206337.22   1680.0     4.2047    0.2479    111.6920    1.6813    18   108.5459     114.3191
  214450.85  213610.85  215290.85   1680.0     3.7748    0.7319    142.1946    3.3156    41   135.4876     148.3442
