#
# No. Freq (Hz)		Measurement	Observed Passband	Measurement	Uncertainty	Units		Uncertainty	Units	Reference Code
#
    1    6.17E+23 	2.67E-11	EGRET (0.1-5 GeV) 	2.669E-11 	+/- 4.08E-12 	Jy 	+/- 4.08E-12 	Jy 	1995ApJS..101..259T
    2    1.45E+18 	5.86E-06	2-10 keV (BeppoSAX) 	8.50E-11 	... 	erg cm^-2 s^-1 	... 		Jy 	2005A&A...434..385G
    3    1.45E+18 	5.72E-06	2-10 keV (BeppoSAX) 	8.30E-11 	... 	erg cm^-2 s^-1 	... 		Jy 	2005A&A...434..385G
    4    1.45E+18 	6.89E-06	2-10 keV (BeppoSAX) 	1.00E-10 	... 	erg cm^-2 s^-1 	... 		Jy 	2005A&A...434..385G
    5    1.45E+18 	8.48E-06	2-10 keV (BeppoSAX) 	1.23E-10 	... 	erg cm^-2 s^-1 	... 		Jy 	2005A&A...434..385G
    6    1.45E+18 	4.89E-06	2-10 keV (BeppoSAX) 	7.10E-11 	... 	erg cm^-2 s^-1 	... 		Jy 	2005A&A...434..385G
    7    1.45E+18 	2.83E-06	2-10 keV (BeppoSAX) 	4.10E-11 	... 	erg cm^-2 s^-1 	... 		Jy 	2005A&A...434..385G
    8    1.45E+18 	4.34E-06	2-10 keV (BeppoSAX) 	6.30E-11 	... 	erg cm^-2 s^-1 	... 		Jy 	2005A&A...434..385G
    9    1.45E+18 	2.14E-05	2-10 keV (BeppoSAX) 	3.10E-10 	... 	erg cm^-2 s^-1 	... 		Jy 	2005A&A...434..385G
   10    1.45E+18 	1.23E-05	2-10 keV (BeppoSAX) 	1.78E-10 	... 	erg cm^-2 s^-1 	... 		Jy 	2005A&A...434..385G
   11    1.45E+18 	1.65E-05	2-10 keV (BeppoSAX) 	2.39E-10 	... 	erg cm^-2 s^-1 	... 		Jy 	2005A&A...434..385G
   12    1.45E+18 	7.58E-06	2-10 keV (BeppoSAX) 	1.10E-10 	... 	erg cm^-2 s^-1 	... 		Jy 	2005A&A...434..385G
