# from the '|' separated table from NED, with the following command:
# awk 'BEGIN{FS="|"}{if(/Photo/){next;};nu=0.4343*log($6);printf "   %7.3f   %7.3f   %7.3f # %15s\n",nu,0.4343*log($7/$6)-23,0.4343*log($7)-23,$3}'  FILE 
#
#  log(nu)   log(Fn)   log(nFn)   original data entry
#
     7.868   -22.255   -14.387        5.56      
     7.903   -22.097   -14.194        8.        
     7.903   -22.097   -14.194        8.000     
     8.204   -22.319   -14.115        4.8       
     8.562   -22.426   -13.863        3.76      
     8.562   -22.577   -14.014        2.649     
     8.611   -22.458   -13.848        3.48      
     8.611   -22.458   -13.848        3.480     
     8.670   -22.534   -13.863        2.92      
     8.803   -22.478   -13.676        3.33      
     8.875   -22.395   -13.520        4.02      
     8.875   -22.458   -13.583        3.48      
     8.982   -22.483   -13.500        3.29      
     9.146   -22.426   -13.280        3.75      
     9.146   -22.435   -13.289        3.67      
     9.146   -22.450   -13.304        3.55      
     9.146   -22.569   -13.422        2701.5    
     9.146   -22.659   -13.513        2.19      
     9.149   -22.482   -13.332        3.300     
     9.149   -22.496   -13.347        3.19      
     9.149   -22.537   -13.388        2.9       
     9.398   -22.710   -13.311        1.95      
     9.423   -22.508   -13.085        3.1       
     9.431   -22.544   -13.112        2.86      
     9.431   -22.553   -13.121        2.800     
     9.431   -22.566   -13.135        2.72      
     9.681   -22.730   -13.049        1.86      
     9.699   -22.489   -12.790        3.250     
     9.699   -22.595   -12.896        2.54      
     9.699   -22.674   -12.975        2.12      
     9.700   -22.475   -12.775        3.35      
     9.700   -22.551   -12.851        2.81      
     9.903   -22.472   -12.569        3.37      
     9.903   -22.507   -12.604        3.11      
     9.924   -22.834   -12.910        1.47      
     9.935   -22.756   -12.821        1.76      
     9.948   -22.432   -12.484        3.7       
    10.030   -22.527   -12.497        2.97      
    10.146   -22.382   -12.236        4.15      
    10.146   -22.569   -12.422        2.70      
    10.176   -22.534   -12.357        2.93      
    10.176   -22.537   -12.360        2.91      
    10.188   -22.533   -12.346        2.93      
    10.267   -22.603   -12.336        2.490     
    10.343   -22.309   -11.966        4.89      
    10.343   -22.582   -12.239        2.62      
    10.343   -22.623   -12.281        2.38      
    10.343   -22.680   -12.337        2.089     
    10.362   -22.721   -12.359        1.9       
    10.497   -22.693   -12.196        2.03      
    10.519   -22.721   -12.203        1.9       
    10.568   -22.348   -11.780        4.49      
    10.568   -22.568   -12.000        2.71      
    10.568   -22.646   -12.078        2.26      
    10.613   -22.745   -12.132        1.8       
    10.973   -22.769   -11.796        1.7       
    11.000   -23.108   -12.108        0.78      
    11.176   -22.602   -11.426        2.50      
    11.176   -22.662   -11.485        2.18      
    11.176   -22.936   -11.759        1.16      
    11.362   -22.678   -11.316        2.10      
    11.362   -22.777   -11.416        1.67      
    11.362   -23.017   -11.655        0.96      
    11.432   -22.745   -11.313        1.80      
    11.432   -22.836   -11.404        1.46      
    11.432   -22.978   -11.547        1.05      
    11.574   -22.824   -11.250        1.50      
    11.574   -22.866   -11.292        1.36      
    11.574   -23.085   -11.511        0.82      
    13.933   -24.757   -10.824        17.5      
    14.117   -24.965   -10.848        10.8      
    14.134   -25.390   -11.256        0.61      
    14.137   -25.268   -11.131        12.70     
    14.137   -25.379   -11.242        12.98     
    14.260   -25.251   -10.991        5.6       
    14.260   -25.640   -11.380        0.36      
    14.263   -25.528   -11.265        13.85     
    14.263   -25.616   -11.353        14.07     
    14.380   -25.569   -11.188        2.7       
    14.380   -25.910   -11.530        0.09      
    14.398   -25.742   -11.344        14.89     
    14.398   -25.838   -11.440        15.13     
    14.450   -25.951   -11.500        0.05      
    14.500   -25.920   -11.420        0.08      
    14.550   -25.880   -11.330        0.12      
    14.600   -25.810   -11.210        0.19      
    14.650   -25.770   -11.120        0.23      
    14.700   -25.710   -11.010        0.29      
    14.750   -25.671   -10.921        0.33      
    14.770   -26.676   -11.906        2.42E-16  
    14.800   -25.639   -10.838        0.36      
    14.850   -25.630   -10.780        0.37      
    14.900   -25.599   -10.699        0.40      
    14.950   -25.600   -10.650        0.40      
    18.083   -29.079   -10.996        10.1      
    18.162   -29.421   -11.259        5.50E-15  
    18.191   -31.365   -13.174        6.69      
    23.791   -33.434    -9.644        3.6720E-11
